Name,Category,Target,Unit,Sign,a,b,c,Triad_Value,Error_Percent
Proton Magnetic Moment (μ_p),nuclear,1.4106067974e-26,J/T,1,-143,-52,-136,1.4106285177150063e-26,0.0015397852219525246
Neutron-to-Proton Mass Ratio,particle,1.0013784193,—,1,-18,0,-14,1.0013593115613544,-0.001908143642531145
Hydrogen Line Wavelength (21cm),atomic,21.106114054,cm,1,5,2,-4,21.10567237858915,-0.002092642016988924
Dark Energy Density (Ω_Λ),cosmology,0.6847,—,1,-7,-3,-1,0.6847273769317272,0.003998383485800248
QCD Scale Parameter (Λ_QCD),QCD,217.0,MeV,1,6,-3,11,216.98154844317307,-0.008503021579231287
Muon Magnetic Moment (μ_μ),derived,-4.4904483000000004e-26,J/T,-1,-136,-51,-130,4.4909711516651815e-26,0.011643640684629773
Bottom-to-Charm Quark Mass Ratio,particle,3.291,—,1,-12,1,-4,3.2905963073552504,-0.012266564714356946
Vacuum Permittivity (ε_0),EM,8.854187817e-12,F/m,1,-59,-35,-53,8.855382787291088e-12,0.01349610281355662
Optical Depth (τ),cosmology,0.054,—,1,-16,-3,-8,0.053990874539192504,-0.016899001495361193
Tau-to-Muon Mass Ratio,particle,16.817,—,1,-5,2,4,16.813876311088517,-0.018574590661134316
Classical Electron Radius (r_e),atomic,2.8179403226999996e-15,m,1,-77,-31,-70,2.8173775180580707e-15,-0.01997219875081409
Electron g-factor (g_e),atomic,2.0023193044,—,1,-13,0,0,2.0019193787255,-0.019973121850304382
Muon g-factor (g_μ),atomic,2.0023318418,—,1,-13,0,0,2.0019193787255,-0.02059913676092527
Baryon-to-Photon Ratio (η),cosmology,6.1e-10,—,1,-46,-19,-53,6.101490877694126e-10,0.02444061793650614
CKM |V_td|,mixing,0.00862,—,1,-16,-9,-10,0.008617269413140257,-0.03167734176035374
Higgs Vacuum Expectation Value (v),electroweak,246.21965,GeV,1,8,-1,11,246.3020486486723,0.03346550475248253
